 ,,,,,,,,,,,,,,,,,Data 2023,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Kota Jakarta Selatan,,,,,,,,,
No,Tahun,Prov,Kab/Kot,Nama Tara,Lingkup,Skor,Peringkat,Keterangan,Skor Terbaru,Peringkat Terbaru,Tahun Pembaruan,No. Sertifikat Lama,No. Sertifikat Baru 2024,No. Sertifikat FINAL,30 September 2024,,,,,,Kota Jakarta Pusat ,,,,,,,,,
2,2021,DKI Jakarta,Kota Jakarta Selatan,TARA KemenPUPR,KL,246,TARA Nindya ,dengan syarat*,,,,04/D.PHA.4/KP.06.07/12/2023,,02-KL/D.PHA.4/KP.06.07/12/2023,TARA Pratama,140-160,,,,,Kota Jakarta Pusat,Data 2023,,,,,,,,
3,2021,DKI Jakarta,Kota Jakarta Pusat ,TARA BPOM,KL,234,TARA Nindya ,dengan syarat*,,,,03/D.PHA.4/KP.06.07/12/2023,,03-KL/D.PHA.4/KP.06.07/12/2023,TARA Madya,161-181,,,,,Kota Surabaya,,,,,,,,,
4,2021,DKI Jakarta,Kota Jakarta Pusat,TARA Kemenparekraf,KL,125,TARA Pratama ,dengan syarat*,,,,09/D.PHA.4/KP.06.07/12/2023,,04-KL/D.PHA.4/KP.06.07/12/2023,TARA Nindya,182-202,,,,,Kota Jakarta Selatan,,,,,,,,,
8,2021,Jawa Timur,Kota Surabaya,TARA Griya Anak Patria Surabaya,DAERAH,156,TARA Pratama ,dengan syarat*,,,,06/D.PHA.4/KP.06.07/12/2023,,04-D/D.PHA.4/KP.06.07/12/2023,TARA Utama,203-223,,,,,Kabupaten Karawang,,,,,,,,,
1,2021,DKI Jakarta,Kota Jakarta Selatan,TARA Sahabat Semut Kemnaker,KL,305,TARA Utama,,223,TARA PARIPURNA,2024,02/D.PHA.4/KP.06.07/12/2023,1A-KL/D.PHA.4/KP.06.07/11/2024,01-KL/D.PHA.4/KP.06.07/11/2024,TARA Paripurna,224-245,,,,,Kota Surabaya,,,,,,,,,
5,2021,Jawa Barat,Kabupaten Karawang,TARA Baby Daycare PT P&G Karawang,DAERAH,261,TARA Nindya,,,,,08/D.PHA.4/KP.06.07/12/2023,,01-D/D.PHA.4/KP.06.07/12/2023,,,,,,,Kabupaten Musi Banyuasin,,,,,,,,,
6,2021,Jawa Timur,Kota Surabaya,Rumah Bahagia Surabaya,DAERAH,,TARA Madya,,,,,05/D.PHA.4/KP.06.07/12/2023,,02-D/D.PHA.4/KP.06.07/12/2023,,,,,,,Kota Surabaya,,,,,,,,,
